id_annonce,type_surface,disponibilite,ville,quartier,departement,region,typologie,residence,surface_m2,salles_de_bain,balcons,dpe,prix_eur,prix_m2_eur
V07463,Surface Carrez,Libre immediatement,Melun,Almont,77,Ile-de-France,T4,Villa des Acacias,85.7,3.0,1.0,E,175000.0,2042.0
V00938,Surface Carrez,Libre immediatement,Paris,Belleville,75,Ile-de-France,T3,,58.9,2.0,1.0,B,422000.0,7165.0
V12936,Surface Carrez,sept-2027,Saint-Denis,Pleyel,93,Ile-de-France,Maison 4 pieces,Carre Riviera,136.4,2.0,0.0,B,480000.0,3519.0
V10704,Surface Carrez,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T5,,119.9,3.0,0.0,A,1022000.0,8524.0
V06453,Surface Carrez,juin-2027,Paris,Batignolles,75,Ile-de-France,T2,Les Allees Opale,47.9,1.0,0.0,A,615000.0,12839.0
V08486,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T4,,72.1,2.0,2.0,C,688000.0,9542.0
V14154,Surface Carrez,juin-2029,Saint-Denis,La Plaine,93,Ile-de-France,T3,Esprit d'Argent,63.8,2.0,1.0,A,294000.0,4608.0
V03283,Surface habitable,Libre immediatement,Argenteuil,Centre-Ville,95,Ile-de-France,T3,Les Allees Montaigne,83.1,2.0,2.0,E,272000.0,3273.0
V05638,Surface au sol,Libre immediatement,Saint-Germain-en-Laye,Hopital,78,Ile-de-France,Maison 4 pieces,,106.3,3.0,0.0,D,433000.0,4073.0
V04115,Surface Carrez,Libre immediatement,Melun,Montaigu,77,Ile-de-France,T4,Cour Verte,72.9,3.0,0.0,D,187000.0,2565.0
V10250,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,Carre Riviera,46.8,1.0,0.0,C,393000.0,8397.0
V14399,Surface Carrez,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T3,,55.9,2.0,0.0,D,460000.0,8229.0
V11328,Surface utile,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T3,Villa des Chenes,71.8,2.0,1.0,C,460000.0,6407.0
V04343,Surface habitable,Libre immediatement,Issy-les-Moulineaux,Corentin Celton,92,Ile-de-France,T1,Cour du Parc,28.1,1.0,0.0,D,181000.0,6441.0
V07687,Surface utile,Libre immediatement,Montreuil,Mairie,93,Ile-de-France,T1,Le Hameau des Chenes,31.2,1.0,0.0,E,127000.0,4071.0
V13031,Surface Carrez,nov-2027,Paris,Porte de Clignancourt,75,Ile-de-France,T3,Le Domaine Cristal,75.6,2.0,1.0,B,510000.0,6746.0
V08409,Surface Carrez,nov-2027,Cergy,Cergy-Saint-Christophe,95,Ile-de-France,Maison 3 pieces,Le Hameau Voltaire,58.3,2.0,0.0,C,177000.0,3036.0
V05160,Surface Carrez,juil-2029,Paris,Belleville,75,Ile-de-France,T4,Esprit Horizon,72.6,2.0,0.0,B,694000.0,9559.0
V06410,Surface Carrez,Libre immediatement,Meaux,Centre-Ville,77,Ile-de-France,T3,,45.7,2.0,2.0,G,94000.0,2057.0
V14919,Surface utile,Libre immediatement,Paris,Belleville,75,Ile-de-France,T4,Le Parc Riviera,91.6,3.0,1.0,D,636000.0,6943.0
V04910,Surface Carrez,Libre immediatement,Creteil,Centre Ancien,94,Ile-de-France,T3,Villa Horizon,91.5,2.0,1.0,G,256000.0,2798.0
V00482,Surface utile,fevr-2027,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T1,Esprit du Parc,17.1,1.0,0.0,A,334000.0,19532.0
V13372,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Les Epinettes,92,Ile-de-France,T3,,50.6,2.0,0.0,E,415000.0,8202.0
V12558,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Port-a-l'Anglais,94,Ile-de-France,T4,Esprit Montaigne,93.7,2.0,2.0,E,361000.0,3853.0
V02130,Surface Carrez,aout-2026,Aubervilliers,Villette-Quatre-Chemins,93,Ile-de-France,Maison 4 pieces,Les Terrasses Saint-Martin,115.2,3.0,0.0,A,428000.0,3715.0
V12494,Surface Carrez,Libre immediatement,Creteil,Echat,94,Ile-de-France,T3,,59.7,2.0,2.0,G,161000.0,2697.0
V08273,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,Carre Concorde,112.4,2.0,1.0,D,1542000.0,13719.0
V04912,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,,35.1,1.0,2.0,D,320000.0,9117.0
V06592,Surface habitable,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,Le Hameau des Chenes,86.6,3.0,1.0,C,1030000.0,11894.0
V06039,Surface habitable,Libre immediatement,Paris,Belleville,75,Ile-de-France,T3,Les Jardins Symphonie,61.6,2.0,0.0,C,396000.0,6429.0
V08852,Surface Carrez,aout-2027,Paris,La Muette,75,Ile-de-France,T3,Le Clos Belvedere,71.8,1.0,0.0,C,952000.0,13259.0
V06873,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T4,,93.3,3.0,0.0,D,1033000.0,11072.0
V12823,Surface Carrez,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T5,,107.6,2.0,0.0,D,1043000.0,9693.0
V13466,Surface Carrez,janv-2029,Paris,Gobelins,75,Ile-de-France,T4,Esprit du Lac,74.6,1.0,0.0,A,712000.0,9544.0
V08176,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Fort d'Issy,92,Ile-de-France,T4,Carre Saint-Martin,79.8,3.0,2.0,D,544000.0,6817.0
V13464,Surface Carrez,Libre immediatement,Saint-Germain-en-Laye,Alsace,78,Ile-de-France,T5,Le Hameau Opale,129.5,3.0,1.0,D,832000.0,6425.0
V06156,Surface Carrez,Libre immediatement,Creteil,Mont-Mesly,94,Ile-de-France,T1,,25.4,1.0,0.0,E,84000.0,3307.0
V00183,Surface Carrez,Libre immediatement,Paris,Belleville,75,Ile-de-France,T2,,37.2,1.0,0.0,C,257000.0,6909.0
V00195,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,,59.7,1.0,1.0,G,430000.0,7203.0
V12482,Surface utile,Libre immediatement,Vincennes,Domaine du Bois,94,Ile-de-France,T3,,63.7,2.0,1.0,C,377000.0,5918.0
V00102,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T3,Le Domaine d'Argent,78.2,1.0,1.0,E,915000.0,11701.0
V02666,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Val de Seine,92,Ile-de-France,T3,,62.8,2.0,0.0,,362000.0,5764.0
V12472,Surface Carrez,Libre immediatement,Melun,Montaigu,77,Ile-de-France,T5,Le Domaine du Parc,73.9,2.0,1.0,B,206000.0,2788.0
V12293,Surface Carrez,Libre immediatement,Argenteuil,Centre-Ville,95,Ile-de-France,Maison 4 pieces,,98.3,2.0,1.0,C,314000.0,3194.0
V07201,Surface Carrez,Libre immediatement,Ivry-sur-Seine,Ivry-Port,94,Ile-de-France,T3,,58.5,2.0,0.0,C,321000.0,5487.0
V06729,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T3,,62.2,2.0,,C,739000.0,11881.0
V05043,Surface habitable,dec-2027,Vincennes,Bois de Vincennes,94,Ile-de-France,T4,Residence Beausejour,111.3,3.0,1.0,A,1171000.0,10521.0
V00619,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,,"42,7",1.0,0.0,D,384000.0,8993.0
V13770,Surface Carrez,Libre immediatement,Paris,Montmartre,75,Ile-de-France,T4,,85 - 95,2.0,2.0,E,902000.0,
V11475,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,Le Clos Cristal,102.7,1.0,2.0,D,918000.0,8939.0
V03282,Surface Carrez,oct-2026,Nanterre,Parc Sud,92,Ile-de-France,T3,Esprit Montaigne,55.7,1.0,0.0,A,415000.0,7451.0
V00456,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T1,Residence Concorde,38.1,1.0,1.0,F,494000.0,12966.0
V00654,Surface Carrez,Libre immediatement,Trappes,Village,78,Ile-de-France,T3,,71.8,1.0,0.0,C,214000.0,2981.0
V12746,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Moulin-Vert,94,Ile-de-France,T3,Villa Montaigne,73.5,2.0,0.0,A,230000.0,3129.0
V06291,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,Le Clos Symphonie,48.5,1.0,0.0,E,352000.0,7258.0
V01436,Surface Carrez,Libre immediatement,Ivry-sur-Seine,Ivry-Port,94,Ile-de-France,Maison 3 pieces,,76.8,1.0,0.0,D,367000.0,4779.0
V05190,Surface utile,Libre immediatement,Montreuil,Bel-Air,93,Ile-de-France,T6,,137.8,3.0,0.0,E,537000.0,3897.0
V13343,Surface utile,Libre immediatement,Creteil,Mont-Mesly,94,Ile-de-France,T4,Villa Opale,99.3,3.0,0.0,E,338000.0,3404.0
V11727,Surface habitable,Libre immediatement,Aubervilliers,Fort d'Aubervilliers,93,Ile-de-France,Maison 4 pieces,,100.2,3.0,0.0,F,221000.0,2206.0
V14933,Surface Carrez,Libre immediatement,Saint-Germain-en-Laye,Centre-Ville,78,Ile-de-France,T4,,83.2,3.0,3.0,B,597000.0,7175.0
V00709,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T2,,51.4,1.0,1.0,E,519000.0,10097.0
V00231,Surface Carrez,janv-2027,Versailles,Saint-Louis,78,Ile-de-France,T4,Cour du Parc,98.2,3.0,2.0,A,812000.0,8269.0
V07652,Surface utile,Libre immediatement,Paris,Bercy,75,Ile-de-France,T5,Cour Opale,110.8,3.0,0.0,B,1053000.0,9504.0
V14809,Surface habitable,Libre immediatement,Antony,Centre-Ville,92,Ile-de-France,T2,,28 - 29,1.0,0.0,E,148000.0,
V00427,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Rives de Seine,92,Ile-de-France,T4,Cour d'Argent,70.3,2.0,1.0,D,496000.0,7055.0
V03637,Surface Carrez,Libre immediatement,Paris,La Muette,75,Ile-de-France,T6,,161.3,3.0,0.0,F,1692000.0,10490.0
V13489,Surface habitable,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T2,Villa Bellevue,34,1.0,1.0,D,357000.0,10500.0
V07526,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Billancourt,92,Ile-de-France,T2,,27.5,1.0,2.0,C,220000.0,8000.0
V02419,Surface Carrez,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T4,,83.5,2.0,0.0,B,973000.0,11653.0
V05690,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,Cour Bellevue,49.7,1.0,0.0,D,527000.0,10604.0
V05231,Surface Carrez,mars-2028,Meaux,Beauval,77,Ile-de-France,T2,Les Jardins Latitude,51.3,1.0,0.0,A,97000.0,1891.0
V01978,Surface Carrez,Libre immediatement,Paris,Belleville,75,Ile-de-France,T3,,71.9,1.0,0.0,E,523000.0,7274.0
V07765,Surface habitable,Libre immediatement,Saint-Germain-en-Laye,Hopital,78,Ile-de-France,T3,,56.9,2.0,0.0,A,474000.0,8330.0
V09111,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T4,Le Parc Belvedere,76.6,1.0,1.0,A,1234000.0,16110.0
V05599,Surface au sol,Libre immediatement,Antony,Les Baconnets,92,Ile-de-France,Maison 5 pieces,,131.9,2.0,2.0,D,452000.0,3427.0
V04104,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Rives de Seine,92,Ile-de-France,T5,,110.3,3.0,0.0,C,1084000.0,9828.0
V08529,Surface Carrez,oct-2028,Montrouge,Ferry-Jaures,92,Ile-de-France,T2,Les Terrasses des Acacias,41.8,1.0,1.0,B,391000.0,9354.0
V01366,Surface habitable,Libre immediatement,Evry-Courcouronnes,Bois Sauvage,91,Ile-de-France,T2,,42.1,1.0,1.0,F,84000.0,1995.0
V05988,Surface Carrez,juil-2029,Montreuil,Croix de Chavaux,93,Ile-de-France,T2,Carre Belvedere,46.6,1.0,1.0,C,265000.0,5687.0
V02167,Surface Carrez,Libre immediatement,Ivry-sur-Seine,Centre-Ville,94,Ile-de-France,T4,Les Terrasses Belvedere,68.2,3.0,0.0,C,370000.0,5425.0
V03806,Surface habitable,Libre immediatement,Levallois-Perret,Eiffel,92,Ile-de-France,T3,,70.5,2.0,0.0,D,634000.0,8993.0
V09950,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,,81.1,2.0,2.0,D,932000.0,11492.0
V07962,Surface Carrez,Libre immediatement,Paris,Montmartre,75,Ile-de-France,T3,Cour Montaigne,69.9,1.0,1.0,E,611000.0,8741.0
V01700,Surface Carrez,janv-2026,Bobigny,Centre-ville,93,Ile-de-France,T2,Le Hameau Horizon,43.6,1.0,2.0,A,206000.0,4725.0
V04327,Surface habitable,oct-2027,Creteil,Mont-Mesly,94,Ile-de-France,T3,Les Jardins Horizon,72.2,2.0,2.0,,294000.0,4072.0
V12496,Surface Carrez,Libre immediatement,Melun,Montaigu,77,Ile-de-France,T3,,64.1,2.0,2.0,F,121000.0,1888.0
V02977,Surface Carrez,mars-2026,Saint-Denis,Franc-Moisin,93,Ile-de-France,T4,Les Jardins Montaigne,80.6,3.0,0.0,B,256000.0,3176.0
V08011,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,Les Jardins des Lilas,70.7,2.0,1.0,F,441000.0,6238.0
V11502,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T3,Residence Voltaire,49.1,2.0,0.0,E,516000.0,10509.0
V14515,Surface Carrez,Libre immediatement,Versailles,Montreuil,78,Ile-de-France,T3,Cour Riviera,76.1,1.0,2.0,E,364000.0,4783.0
V11410,Surface Carrez,Libre immediatement,Trappes,Sand-Pergaud-Verlaine,78,Ile-de-France,T3,Le Hameau Opale,83.6,2.0,2.0,E,203000.0,2428.0
V14823,Surface habitable,Libre immediatement,Vitry-sur-Seine,Ardoines,94,Ile-de-France,T1,Esprit Horizon,33.3,1.0,0.0,A,115000.0,3453.0
V03415,Surface habitable,Libre immediatement,Paris,Belleville,75,Ile-de-France,T6,,133.8,3.0,1.0,G,868000.0,6487.0
V05114,Surface Carrez,mars-2027,Vitry-sur-Seine,Centre-Ville,94,Ile-de-France,T4,Les Terrasses des Lilas,88.8,2.0,1.0,C,443000.0,4989.0
V14221,Surface habitable,aout-2026,Nanterre,Centre,92,Ile-de-France,T1,Le Parc Saint-Martin,28,1.0,1.0,A,187000.0,6679.0
V06907,Surface au sol,Libre immediatement,Antony,Les Baconnets,92,Ile-de-France,Maison 4 pieces,Les Terrasses Latitude,102.5,3.0,1.0,E,398000.0,3883.0
V03737,Surface habitable,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,Le Hameau Verte,69.3,2.0,2.0,E,572000.0,8254.0
V12419,Surface habitable,Libre immediatement,Ivry-sur-Seine,Ivry-Port,94,Ile-de-France,T3,Esprit du Parc,67.1,2.0,0.0,E,303000.0,4516.0
V07819,Surface Carrez,Libre immediatement,Evry-Courcouronnes,Le Canal,91,Ile-de-France,T2,,41.2,1.0,0.0,D,122000.0,2961.0
V11259,Surface Carrez,mars-2028,Aubervilliers,Fort d'Aubervilliers,93,Ile-de-France,T1,Villa Verte,26.3,1.0,1.0,C,99000.0,3764.0
V02052,Surface Carrez,Libre immediatement,Vincennes,Domaine du Bois,94,Ile-de-France,T4,Residence Opale,77,3.0,,E,645000.0,8377.0
V04265,Surface habitable,Libre immediatement,Saint-Denis,Grand Centre,93,Ile-de-France,T2,,47.4,1.0,,E,120000.0,2532.0
V08845,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T3,Les Terrasses du Lac,54 - 58,1.0,,E,436000.0,
V14817,Surface Carrez,Libre immediatement,Massy,Opera,91,Ile-de-France,Maison 5 pieces,,95,4.0,0.0,D,288000.0,3032.0
V11359,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T4,,106,1.0,1.0,D,1612000.0,15208.0
V04534,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Port-a-l'Anglais,94,Ile-de-France,Maison 4 pieces,Residence Belvedere,96.8,3.0,0.0,A,367000.0,3791.0
V04901,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T5,,88.5,2.0,0.0,D,1149000.0,12983.0
V04328,Surface Carrez,Libre immediatement,Argenteuil,Val d'Argent,95,Ile-de-France,T4,Esprit des Chenes,91.2,1.0,0.0,D,218000.0,2390.0
V08493,Surface Carrez,Libre immediatement,Evry-Courcouronnes,Les Pyramides,91,Ile-de-France,T3,Les Allees Saint-Martin,80.7,2.0,1.0,D,160000.0,1983.0
V12314,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,,47.4,1.0,0.0,A,611000.0,12890.0
V00036,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Centre-Ville,94,Ile-de-France,T4,,80.7,3.0,0.0,C,271000.0,3358.0
V14388,Surface Carrez,Libre immediatement,Ivry-sur-Seine,Petit-Ivry,94,Ile-de-France,T3,Le Domaine Latitude,68.1,2.0,2.0,C,275000.0,4038.0
V05822,Surface Carrez,Libre immediatement,Saint-Denis,La Plaine,93,Ile-de-France,T2,Le Clos du Parc,55.2,1.0,0.0,D,187000.0,3388.0
V04323,Surface Carrez,Libre immediatement,Evry-Courcouronnes,Les Pyramides,91,Ile-de-France,Maison 4 pieces,,100.9,2.0,0.0,C,183000.0,1814.0
V05283,Surface Carrez,dec-2027,Paris,Bercy,75,Ile-de-France,T2,Esprit Symphonie,50.2,1.0,0.0,B,489000.0,9741.0
V09428,Surface Carrez,Libre immediatement,Cergy,Cergy-Prefecture,95,Ile-de-France,T2,Les Jardins Riviera,45.3,1.0,,D,110000.0,2428.0
V05960,Surface Carrez,fevr-2027,Paris,Bercy,75,Ile-de-France,T4,Le Domaine Symphonie,65,3.0,,B,773000.0,11892.0
V06845,Surface Carrez,Libre immediatement,Argenteuil,Orgemont,95,Ile-de-France,T2,,39.4,1.0,0.0,B,124000.0,3147.0
V09346,Surface Carrez,Libre immediatement,Noisy-le-Grand,Champy,93,Ile-de-France,T3,Les Jardins Beausejour,52.4,1.0,0.0,D,155000.0,2958.0
V11219,Surface habitable,Libre immediatement,Mantes-la-Jolie,Gassicourt,78,Ile-de-France,T4,Les Jardins d'Argent,108.4,1.0,1.0,D,352000.0,3247.0
V03733,Surface habitable,Libre immediatement,Saint-Denis,Pleyel,93,Ile-de-France,T3,,79,2.0,0.0,C,289000.0,3658.0
V12396,Surface Carrez,Libre immediatement,Melun,Montaigu,77,Ile-de-France,T3,,63,1.0,1.0,E,168000.0,2667.0
V09046,Surface Carrez,Libre immediatement,Paris,Belleville,75,Ile-de-France,T6,,101.4,2.0,0.0,E,677000.0,6677.0
V07857,Surface Carrez,dec-2027,Paris,Bercy,75,Ile-de-France,T3,Le Clos Beausejour,77.7,2.0,0.0,C,747000.0,9614.0
V00792,Surface Carrez,Libre immediatement,Creteil,Echat,94,Ile-de-France,T4,Esprit Verte,60.1,2.0,0.0,B,303000.0,5042.0
V00692,Surface habitable,nov-2027,Issy-les-Moulineaux,Les Epinettes,92,Ile-de-France,T5,Les Jardins Concorde,105,3.0,1.0,B,858000.0,8171.0
V07390,Surface habitable,dec-2029,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T1,Villa Riviera,25,1.0,1.0,C,407000.0,16280.0
V10711,Surface utile,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T6,Le Hameau Riviera,160.9,1.0,1.0,E,1456000.0,9049.0
V05028,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,,73,1.0,1.0,D,760000.0,10411.0
V00308,Surface Carrez,Libre immediatement,Paris,La Muette,75,Ile-de-France,T3,Le Hameau Latitude,83.2,1.0,2.0,E,960000.0,11538.0
V06190,Surface habitable,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T5,,103,3.0,0.0,C,738000.0,7165.0
V06199,Surface habitable,Libre immediatement,Ivry-sur-Seine,Ivry-Port,94,Ile-de-France,Maison 5 pieces,,131 - 142,4.0,0.0,C,660000.0,
V11755,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T3,Carre Symphonie,63.9,2.0,0.0,D,776000.0,12144.0
V11029,Surface Carrez,avr-2027,Paris,Le Marais,75,Ile-de-France,T4,Le Domaine Belvedere,67.8,2.0,1.0,A,1141000.0,16829.0
V11528,Surface habitable,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T2,Le Parc Concorde,38.5,1.0,1.0,D,376000.0,9766.0
V14223,Surface au sol,Libre immediatement,Ivry-sur-Seine,Centre-Ville,94,Ile-de-France,Maison 4 pieces,,72.2,3.0,1.0,B,260000.0,3601.0
V05398,Surface Carrez,Libre immediatement,Saint-Denis,Grand Centre,93,Ile-de-France,T3,Le Hameau Montaigne,62.2,1.0,,E,184000.0,2958.0
V09051,Surface Carrez,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T2,Cour Saint-Martin,51.6,1.0,2.0,G,303000.0,5872.0
V02922,Surface habitable,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T4,,81.6,1.0,3.0,C,688000.0,8431.0
V01158,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T6,,137.5,3.0,0.0,D,1027000.0,7469.0
V06859,Surface Carrez,nov-2029,Saint-Germain-en-Laye,Bel-Air,78,Ile-de-France,T3,Villa d'Argent,53.6,2.0,0.0,C,413000.0,7705.0
V07442,Surface Carrez,Libre immediatement,Saint-Denis,La Plaine,93,Ile-de-France,T4,Le Hameau Beausejour,82.3,3.0,1.0,E,280000.0,3402.0
V03176,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T6,Cour Cristal,108.8,3.0,1.0,C,982000.0,9026.0
V02463,Surface Carrez,Libre immediatement,Massy,Villaine,91,Ile-de-France,T3,,74.7,1.0,0.0,,188000.0,2517.0
V10879,Surface Carrez,Libre immediatement,Melun,Montaigu,77,Ile-de-France,T6,,144.7,3.0,0.0,B,302000.0,2087.0
V03623,Surface Carrez,Libre immediatement,Montreuil,Bas-Montreuil,93,Ile-de-France,T4,,123.6,3.0,2.0,B,620000.0,5016.0
V08503,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,Le Hameau Horizon,82.7,2.0,1.0,G,777000.0,9395.0
V09924,Surface habitable,juin-2028,Paris,Montmartre,75,Ile-de-France,T3,Residence Symphonie,76.2,2.0,1.0,C,911000.0,11955.0
V01124,Surface habitable,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,Les Allees Horizon,39.1,1.0,0.0,E,394000.0,10077.0
